timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud,pue,wue
2026-06-18T15:57:02,polyp_app_densenet121,4d5c1c51-6df2-4764-8c9d-db380904e13b,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.156042619000345,8.288012357151307e-06,3.844085587229285e-06,4.528551244500003,8.27564628332321,10.0,2.0787135353772005e-06,4.9494484040003145e-06,4.588793572222333e-06,1.1616955511599848e-05,0.0,India,IND,karnataka,,,Linux-6.17.0-29-generic-x86_64-with-glibc2.39,3.12.13,3.2.8,16,AMD Ryzen 7 7435HS,1,1 x NVIDIA GeForce RTX 2050,77.591,12.9753,15.436344146728516,machine,0.0,0.0,0.0,0.0,N,1.0,0.0
2026-06-18T15:57:47,polyp_app_densenet121,b9eb8631-a839-46a7-8040-4d1b09243b62,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.9034747830000924,3.6980245907426025e-08,1.9427757193158583e-08,4.577218272,7.064410568922886,10.0,1.7788426027902696e-06,3.728058538000553e-06,3.885253150000759e-06,9.392154290791583e-06,0.0,Canada,CAN,quebec,,,Linux-6.17.0-29-generic-x86_64-with-glibc2.39,3.12.13,3.2.8,16,AMD Ryzen 7 7435HS,1,1 x NVIDIA GeForce RTX 2050,-71.2,46.8,15.436344146728516,machine,0.0,0.0,0.0,0.0,N,1.0,0.0
2026-06-18T15:59:42,polyp_app_densenet121,e7543957-ace6-4552-8bf8-2a69d1800852,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.836568097000054,6.12762493555554e-06,3.336453979335001e-06,4.809637606500001,6.100818485295986,10.0,1.7806356272407993e-06,3.1066691520004186e-06,3.70152728333374e-06,8.588832062574958e-06,0.0,India,IND,karnataka,,,Linux-6.17.0-29-generic-x86_64-with-glibc2.39,3.12.13,3.2.8,16,AMD Ryzen 7 7435HS,1,1 x NVIDIA GeForce RTX 2050,77.591,12.9753,15.436344146728516,machine,0.0,0.0,0.0,0.0,N,1.0,0.0
2026-06-18T17:57:13,polyp_app_densenet121,49c858a4-3a0a-4e67-a00c-df239a8a8ced,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.669186443000001,1.0936044065781269e-05,4.09714506622843e-06,4.520366073000001,8.951766311734406,10.0,2.7124416440004595e-06,6.6166719600001e-06,5.999475677777848e-06,1.5328589281778406e-05,0.0,India,IND,karnataka,,,Linux-6.17.0-29-generic-x86_64-with-glibc2.39,3.12.13,3.2.8,16,AMD Ryzen 7 7435HS,1,1 x NVIDIA GeForce RTX 2050,77.5937,12.9719,15.43634033203125,machine,0.0,3.0,34.3,5.300788879394531,N,1.0,0.0
2026-06-18T18:24:18,polyp_app_densenet121,73ed7ce8-c720-412f-a227-3304256b172a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.6301990380000007,1.1308799434607807e-05,4.299598346445675e-06,4.55660120025,9.943402206012037,10.0,2.691142784205569e-06,7.255561359999782e-06,5.904360533333235e-06,1.5851064677538588e-05,0.0,India,IND,karnataka,,,Linux-6.17.0-29-generic-x86_64-with-glibc2.39,3.12.13,3.2.8,16,AMD Ryzen 7 7435HS,1,1 x NVIDIA GeForce RTX 2050,77.591,12.9753,15.436336517333984,machine,0.0,7.0,37.7,5.814537048339844,N,1.0,0.0
2026-06-18T23:17:02,polyp_app_densenet121,bb5d9c7a-52de-4a52-9446-c3ec28e13737,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.8859583550001844,6.511938443190688e-06,3.452853784350955e-06,4.5417271905000005,6.777221153313648,10.0,1.7439372258856506e-06,3.544447279998919e-06,3.8391235055567245e-06,9.127508011441295e-06,0.0,India,IND,karnataka,,,Linux-6.17.0-29-generic-x86_64-with-glibc2.39,3.12.13,3.2.8,16,AMD Ryzen 7 7435HS,1,1 x NVIDIA GeForce RTX 2050,77.5937,12.9719,15.436344146728516,machine,0.0,0.0,0.0,0.0,N,1.0,0.0
